"estdepartureairport","estarrivalairport","flights"
CYYZ,CYVR,163
YBAF,YBAF,130
LFPB,LELI,1
KIGQ,KSDF,1
KCRG,KOPF,11
KCLE,K06C,13
KDEN,CYYC,27
LIEE,LIRF,39
KDFW,KLGA,134
KATL,KAUS,24
KNJK,KNZY,1
KCDC,KPVU,7
KHEF,"6VA4",1
KATL,KVPS,41
ESSA,EDDL,20
LPAR,SBGR,17
LIRF,LSZH,24
KTYS,KDCA,15
KWVI,KSQL,3
LIRF,EHRD,3
EGCC,EDDF,34
EDFM,EDLM,1
EGCC,CYYZ,10
LOWL,LOWS,2
EDDF,LTBW,59
LIRF,RKSI,9
KFLD,MO88,1
EHAM,EGSS,24
LSZH,EDDH,56
EIDW,EDDK,14
KIAD,KMSP,31
EGGW,LDSP,2
VMMC,VTBS,13
NY31,PN18,1
KMKE,KMSN,5
CYYT,CYUL,2
KPHL,"24OI",4
AL93,KMDQ,2
KMDW,TX05,16
KCGZ,KVGT,1
LL40,KDPA,1
"71KY",KMCI,10
KF62,CA53,2
LFBO,LEMD,28
EPKT,LCPH,2
LTFJ,OBBI,14
KDMW,"41NC",1
TS00,TS00,21
KATL,CYUL,25
LIRF,LICJ,26
KIAD,KDEN,8
KBUF,KLAS,8
LIEO,LIMC,27
RCKH,RKSI,21
SSJC,SBKP,4
EDAM,OMDB,6
EPMO,EDDK,5
KRAL,KAJO,11
KLGA,KJFK,5
UAAA,VHHH,13
"17MO",K1H0,1
KSEE,KBWC,1
KNSE,"4AL6",10
LGIR,UUWW,10
CYXE,CYYC,69
EGNX,EKCH,4
KNPA,FD82,6
LDZA,EGLL,8
EHAM,ENVA,9
YBBN,RKSI,7
LSZH,EBBR,30
KEYE,KHNB,1
KPDK,KFOK,2
KDTW,KLDJ,22
EGSS,EDDF,25
KSEA,KFLL,7
KCLE,KORD,77
LICB,LICB,1
LSZH,EDDF,70
EGAA,EGNX,25
EBBR,LGIR,15
KPIA,"07KY",2
KMTN,KFRG,3
EDDF,LEBL,61
EKYT,ENGM,7
KDYS,KBPG,1
KORD,KIKV,2
KADS,KFLP,1
KCLT,KBOS,64
KSBA,KU42,2
YPPH,OMDB,7
KPHL,KCHO,1
KFLG,"1AZ2",5
KHPN,KPWK,5
KSDM,KOXR,3
ENBR,EKCH,7
VTBD,WBKK,3
KABE,K06C,4
CYUL,CAM3,1
EGCC,GCTS,5
KHPN,KIAD,20
KAPA,KFTW,3
PS82,"4GA6",1
KPGV,KSOP,1
KLAX,KBOI,28
KMCO,CT39,2
KFTW,KRVS,3
KORD,KMXO,1
KBOS,KSJC,5
CYYZ,EDDF,24
KDEC,"62IS",3
LTBA,OJAM,1
KO15,CN42,1
WBSB,VHHH,7
YMEN,YSBK,3
KVGT,KDVT,2
EBBR,LFPB,2
EDDM,LIPZ,33
KORD,"7PS7",18
KSAT,KTPA,10
"3VA5",KJYO,2
KNIP,NC06,2
KCLL,KDWH,13
KMCO,"89GE",14
CHF2,CYUL,9
KF70,"4CL4",2
OA16,KORD,31
KBNA,KJAX,1
KPAE,KLAS,15
KJFK,KABQ,5
OMDB,EDDM,21
KSJC,KSMO,3
YNBR,YSSY,5
UT08,UT08,5
EBBR,EDDB,4
KECP,KTPA,2
KPAO,KCMA,3
KCEW,KDTS,2
KATL,KXFL,2
KBWI,"51GA",7
KADS,KSAT,4
KOXC,KMQS,1
KMKE,K7SP,1
KTEB,KSJC,14
LFPO,LEZL,6
EHAM,LICZ,10
KDFW,KHSV,9
LEZL,EBCI,8
MU19,MU12,3
PA82,"78MI",1
KPTK,KSTP,2
KROC,KPEO,2
CYTZ,CPL3,15
KLSE,KDTW,1
EDMO,EGGW,1
LFPG,LFPO,3
"5WI4","6MI6",1
KMCI,"81GA",3
FL59,KCCO,2
LKPR,LIME,3
KDEN,KMKE,32
EDDF,LMML,28
MI29,"3MI7",1
CYRC,CYML,1
LGAV,EBCI,7
LGAV,LIME,14
EHEH,EHRD,2
KSPG,"4FL8",1
KBWI,KLUK,6
SIDN,SIVE,1
KASG,KTKI,3
KPIE,"82PA",1
LZIB,LYBE,1
KGRR,KBED,1
KTUL,KATL,1
CYYC,CJC4,1
"18CL","4CA7",1
EGBB,LEMG,12
KSDL,KTEX,2
FD83,KDFW,3
SDPC,SBKP,1
LFPO,LFNL,8
KLXT,"1CO3",1
KMCC,KRHV,4
KHOU,KPNS,2
KBWI,KSRQ,1
KROG,K11V,1
KBUF,"5NY4",1
KHOU,KRDU,7
CHF2,CYYT,2
EDDT,LYBT,8
LYBE,EGLL,13
VNKT,OM11,2
KWHP,KSNA,1
RPLL,LIMC,6
LFMV,LFCG,1
CYHU,KSBY,1
KEWR,"08FA",3
KCID,KDEN,1
KCVG,KMSP,3
KORD,KY51,3
KBOS,KALB,1
KDTO,KLVJ,1
KDFW,"7TX9",1
"20MO","20MO",1
UUDD,LCPH,4
LL39,II13,1
EDHK,EDVK,1
VAJJ,VTBD,4
"00WA",KBFI,1
KLOT,"3II9",1
ENGM,LIPZ,3
KJYO,KFXE,1
CL36,KSAC,1
KLCK,KSGH,1
"67OR",OR90,1
"80PN",KMSP,4
KTEB,KBKL,11
KIAD,KABQ,1
KVBT,KAPA,3
MD64,KBWI,1
LEMD,EGGP,4
EGGP,EGNS,3
KCLT,K1R8,2
KNRB,KNIP,1
KDEN,EGLL,6
LFBO,LFRS,9
CYYC,TS53,1
KIAD,K06C,9
"8MO8",K2H2,1
MD43,MD43,4
LIRA,EHEH,6
YMEN,YORB,1
K06C,WI69,1
LFRN,EBLG,2
TE34,KGLE,1
EGSS,EGPK,2
KBWI,"7PS7",2
ZGGG,RCTP,2
KMSN,KATW,6
LOWW,LIMN,18
KGRR,KX14,1
ESMK,ESTT,1
"78MI",KSTL,2
KBWI,KCVG,3
KALN,"21FA",1
RKRB,ZGSZ,1
KCRQ,KFUL,6
"98CL",KO41,1
KTEB,KHEF,4
"1AZ2","1AZ2",1
KJFK,"08FA",3
K6K5,"3OR8",1
KLEB,KALB,1
KSAV,KIAD,11
OMDB,VIDP,107
YMMB,YMMB,342
KCMA,CN37,1
YPEC,YPEC,28
VABB,OMDB,91
KDEN,KSNA,61
RJTT,RJOO,101
KLGB,KCMA,17
KHWD,KMCC,3
KSMF,KT42,3
KMDW,KOPF,1
KMCC,"6CA6",1
CYVR,LSZH,8
KORD,KVUO,9
VOBL,EDDF,8
VTBS,OMAA,20
VHHH,EGKK,7
KLAS,KHOU,41
VIDP,EGLL,33
YPAD,YSSY,116
UUEE,LLHZ,1
KIND,"60MI",2
RJFF,RJTK,71
OMAA,YMML,8
KMTN,"05MD",3
KJWY,KTKI,4
EPWA,LSGG,8
ELLX,LSZH,18
KABE,"8PA8",2
KSJC,KSJC,21
KBFI,KPAE,11
KIAH,KBKL,7
AZ32,"2AZ7",1
KSNA,KSFO,61
KSJC,KRNO,38
EGKK,FD83,10
EHAM,EGKK,60
KHMT,KAJO,3
KTOA,KHOU,1
KSQL,KHHR,3
EGLF,EGNT,2
KSEE,KTOA,4
CA73,KWLW,1
IA35,KLAS,7
WMKF,WMKF,2
KRNO,KO60,1
KRYY,KJZP,7
KEDN,KEDN,6
LFML,LEMD,17
LEMD,EGPH,12
LGAV,LSZH,28
KHHR,KPAO,2
KEWR,KVUO,3
KSDL,KSNA,18
SBGL,SSJC,15
KPWK,KBKL,3
KWHP,KWHP,125
KGRR,KPHL,14
CCV4,CYUL,14
LSZM,EHAM,32
EDJA,EDDM,2
EDDM,EDJA,2
NZNV,NZGC,1
EHAM,EKCH,78
RJTK,RJTT,9
KPHL,EGCC,5
KBKV,KORL,5
KJFK,KTPA,48
EGGW,EGJJ,10
EKVD,EKVD,3
KJFK,KIND,23
LEPA,ESKN,2
YBBN,YWOL,7
LEPA,LOWG,2
LSPG,LSZU,1
LSZC,LSPU,1
KRDU,KSDF,6
CA84,CA84,9
KAHN,KPDK,3
LSGG,EDDH,7
KMGE,KPDK,2
RJOO,RJTK,35
KLVK,KMDW,1
KTIW,WA96,1
EGBJ,ENGM,1
K2W6,MD43,1
EGKK,EGLL,1
VABB,LSZH,6
LTBA,LTAC,9
VAJJ,VABB,5
KPHX,KSFF,11
"71MI",KLAX,13
CYYC,CYKA,18
KIAH,AL72,8
KIND,"4II8",2
KSDF,KLAX,12
KTPA,XS89,4
LSZH,LMML,12
KCMH,KIAD,12
KLAX,"23CN",9
WMKK,OTHH,21
KPDK,"4SC4",2
KOAK,KSFO,10
EDDF,LDZA,24
KSAT,KSDF,8
KDEN,KCMH,21
OTHH,LTFE,2
ULLI,EDDL,7
EGSS,LEGE,3
KOAK,KPSP,6
OTHH,EHAM,15
EGLC,EGJB,1
EYVP,ESSA,6
LFPO,LFRJ,15
CYYZ,KSDF,5
KPGD,"6FL3",1
KMKC,KHOU,7
ULLI,ZGSZ,3
"6TA3",KTKI,3
KCLT,KGRR,14
LEZL,GCTS,1
EGLL,RKSI,16
EPWA,CYYZ,18
EDDS,LEMG,2
KBNA,"1II8",1
EGSS,EDDN,12
OKBK,LTFE,1
KHND,KHGR,1
KMCO,"60MI",1
KCMH,KTUL,1
"20SC","89GE",1
ZGSZ,VTBD,21
KAPA,"43CO",9
EDDL,ENGM,12
KGLE,"3TX2",1
KHVN,KMMU,3
KLAS,KCMA,5
CYYZ,KCLT,9
KNSE,"24FL",1
KSDL,KFLG,5
KE16,KPAO,7
LSZM,EGKK,18
EHRD,EGNX,1
KHPN,KEWB,3
"8TS5",KFTW,2
EBCI,GMTT,6
KJFK,KDCA,39
"8CL1","8CA5",1
KSAF,KFTG,3
VHHH,RJTL,7
KSUS,SN59,2
KMCI,KATL,1
KHPN,KHYA,10
SBVT,SNFF,3
LFLB,LIEO,1
ENGM,EHAM,47
KCRQ,KSEE,11
KJFK,NY72,9
EIDW,EGGP,24
KTEB,EIKY,1
EGAC,EGPH,1
KSTE,KHOU,1
KSAN,CYVR,19
KEFD,KDAL,2
KROA,KPNE,1
"74OR",KPDX,3
LTFJ,EKCH,12
KORL,KHWO,5
"8TX7",KDCA,3
YBCG,YKBN,1
KATL,"9II1",8
KSUS,CYYZ,2
LKKL,LKVO,7
KRDU,KORL,4
KPOC,KONT,1
KSWF,NH76,1
KTYS,KAPA,1
KMCI,IN87,1
KDTS,KGZH,5
LRBS,LICZ,2
KDCA,NH76,4
KMSP,KATW,27
"25GA",KSDF,2
LHBP,LHBP,3
KPDK,"62GA",1
KSAN,KIPL,5
OL99,PASX,3
KIAD,KTYS,18
"0CO1",KBDU,15
KEMT,KF70,4
KJFK,KHWD,1
EKCH,EBMB,15
LIEE,LFPC,2
KIAD,"7TX7",1
"07KY",ND52,1
KPIE,KOXV,1
KCLE,"1WI6",3
KSDL,"58AZ",5
KSFO,KRDU,14
"07KY",KBFI,4
YPPH,ZGGG,2
OTHH,EBLG,3
LTFJ,LTAE,4
KIND,KIPJ,1
LEMD,ENGM,11
EPWA,LHBP,14
WT24,KBOI,9
"1AK6",PAMR,2
"1TS3",KAXH,3
KDAL,OI89,1
KTPA,"22OI",1
EKSB,EGMC,1
KDFW,KSJT,25
CYCD,CYNJ,1
KNY2,KTEB,1
KPJC,"2OA1",1
K5C1,"6TX2",2
LSZH,EDCT,5
KHFD,K3C8,1
KBNA,"41TN",1
K9X1,KSTL,5
"25GA",KCMH,1
LEMD,LFML,13
KBVI,KOYM,1
KCVG,KSTL,1
KSQL,KO27,1
KLGA,TX05,1
KSJC,LL22,1
KMTC,KDET,1
KIAD,CO12,4
EGKK,LEMP,5
LRBS,LGAV,7
KHOU,KLXV,2
KHPN,KMHT,4
LFPO,KMIA,1
KPHL,"77PN",5
KCPU,KO08,1
NH78,KPYM,2
TN97,KMBT,1
YBBN,YCCA,8
KBOI,"1AZ2",1
KSCH,KDTW,3
K5A9,"1GE2",1
LKSK,LKCR,1
KBTP,PS66,1
LGIR,LFFI,2
LEMG,EGPK,6
KIWA,KTUS,2
LFST,LFPN,1
YSSY,YBWW,13
KLGB,"1AZ2",4
KFLL,KDEN,5
SBBR,KORL,1
EKKS,EKCH,2
KBDN,KSQL,2
"24FL","24FL",28
KCMA,KCMA,249
CA70,"6CA8",1
KONT,KL88,6
OTHH,LFPG,24
EHAM,UUEE,41
VHHH,KSFO,38
NZCH,NZAA,160
KSCH,KORD,7
LEMG,EFHK,23
LRBS,LFLL,1
EGCC,LGSA,4
KTPA,KEWR,38
KTEB,KHPN,34
KPHX,KRDU,15
LKPD,LKVO,1
ESSA,EIDW,11
K7F3,KADS,4
EDDN,EDFD,1
EDFM,EDDN,3
KJFK,RKSI,25
KUDD,KSJC,2
KTEB,KHSP,1
EGPH,LZIB,2
RKSI,VHHH,158
KSAT,KSEA,13
KMCO,KJFK,57
KJFK,KSMF,5
LFQQ,LGAV,1
ZGSZ,ZUCK,180
EGSS,OMDB,15
KSFO,KAUS,33
KRAL,KCRQ,14
KMSP,KJFK,28
EPKT,LGPZ,1
ESSX,ESOW,4
EGPH,EDDM,14
LIPX,UUEE,7
LIPE,EDDK,15
KIND,KPHL,42
KBDN,KVUO,4
LEMG,EGFF,9
YMML,OMDB,21
KAPA,KIAD,5
LIRF,ENGM,9
EDSB,EDLR,1
KDTW,CPL3,4
LIMC,LTFJ,7
UUDD,OMAA,6
KAPA,CO97,7
KTOA,KMYF,3
KMSN,KMSP,35
EDRZ,EDRZ,23
KIAD,KSGR,1
KEWR,KMCO,35
EGLL,KSAN,5
YBAF,YTWB,8
KCMI,KHNB,2
KHNB,KCMI,1
LIMC,LEBL,59
"26MA",KBED,4
KHOU,KDFW,46
EDDM,LEPA,40
KSEA,KBFI,1
KMCO,NC13,2
KU42,KISM,1
KOAK,"4GA6",2
KDEN,"73II",1
FAOR,SBMT,4
EPWA,LEBL,15
KBWI,KOPF,12
"60NJ",KTTN,3
KDTW,KSFO,20
KSDF,KBAK,1
KTYS,KPDK,9
KIAH,KDCA,14
"66MI",KMSP,7
CYKA,CYYC,20
LGIR,EKBI,2
KMKE,KLAS,18
EHAM,ESSB,3
LOWS,EDDT,7
KEWR,EGPF,6
KBDN,OL05,3
KMCO,KCLT,9
KAUS,KDAL,80
VMMC,RCKH,27
KEWR,NJ72,2
"99II",II07,1
KMHR,KLOT,1
KPAO,"67CA",1
EBCI,LSGK,2
CYMX,CYHM,7
ENVA,ENSI,2
YPPF,YLYK,40
KORD,GA35,18
KIAD,KEWR,40
KLAL,KISM,2
PAMR,PAAQ,1
KBWI,KSAV,1
KFDK,KEZF,2
KIAD,"3IN3",1
KPDX,KSNA,29
KXNA,KFYV,4
VABB,FAOR,8
KTOA,KCRQ,21
KTOA,KSBD,2
VABB,VOTP,11
